Iteration : 1	 NDofs: 8	 Error: 0.0333385731854983422
Iteration : 2	 NDofs: 11	 Error: 0.02648820819676710181
Iteration : 3	 NDofs: 18	 Error: 0.026486517010164318392
Iteration : 4	 NDofs: 31	 Error: 0.023325144886770517172
Iteration : 5	 NDofs: 55	 Error: 0.017538264357592769221
Iteration : 6	 NDofs: 111	 Error: 0.015434945419386629853
Iteration : 7	 NDofs: 227	 Error: 0.011700812490432808619
Iteration : 8	 NDofs: 568	 Error: 0.0085850211097462381105
Iteration : 9	 NDofs: 1424	 Error: 0.0068837770523598428019
Iteration : 10	 NDofs: 4138	 Error: 0.0052181718933656893317
Iteration : 11	 NDofs: 11618	 Error: 0.0036197645315056655758
Iteration : 12	 NDofs: 37050	 Error: 0.0029176834627003224096
